
--- Test Case 1 ---
Thread_No  Hash_Value      Validity   Role       Value read/written
1          6171045888      dummy      writer     7035           
2          6171619328      dummy      writer     1734           
3          6172192768      dummy      writer     1512           
4          6172766208      dummy      writer     5295           
5          6173339648      dummy      writer     5468           

--- Test Case 3 ---
Thread_No  Hash_Value      Validity   Role       Value read/written
---------------------------------------------------------------
1          6162444288      real       reader     0              
1          6167605248      dummy      reader     0              
1          6163017728      real       writer     9830           
2          6163591168      real       writer     5891           
3          6164164608      real       writer     3764           
4          6164738048      real       writer     4190           
5          6165311488      real       writer     9506           
6          6165884928      real       writer     1977           
7          6166458368      real       writer     6718           
8          6167031808      real       writer     2278           
1          6168178688      dummy      writer     7589           
2          6168752128      dummy      writer     4983           
3          6169325568      dummy      writer     1488           
4          6169899008      dummy      writer     6441           
5          6170472448      dummy      writer     3877           
6          6171045888      dummy      writer     4186           
7          6171619328      dummy      writer     3333           
8          6172192768      dummy      writer     7010           
1          6167605248      dummy      reader     7010           
1          6162444288      real       reader     7010           
1          6163017728      real       writer     8503           
2          6163591168      real       writer     3341           
3          6164164608      real       writer     9872           
4          6164738048      real       writer     7475           
5          6165311488      real       writer     2100           
6          6165884928      real       writer     3540           
7          6166458368      real       writer     1742           
8          6167031808      real       writer     3814           
1          6168178688      dummy      writer     728            
2          6168752128      dummy      writer     7833           
3          6169325568      dummy      writer     9038           
4          6169899008      dummy      writer     9218           
5          6170472448      dummy      writer     1101           
6          6171045888      dummy      writer     8605           
7          6171619328      dummy      writer     5050           
8          6172192768      dummy      writer     2302           
1          6167605248      dummy      reader     2302           
1          6162444288      real       reader     2302           
1          6163017728      real       writer     761            
2          6163591168      real       writer     2719           
3          6164164608      real       writer     4788           
4          6164738048      real       writer     1248           
5          6165311488      real       writer     8258           
6          6165884928      real       writer     420            
7          6166458368      real       writer     9509           
8          6167031808      real       writer     6212           
1          6168178688      dummy      writer     1559           
2          6168752128      dummy      writer     7856           
3          6169325568      dummy      writer     2081           
4          6169899008      dummy      writer     9662           
5          6170472448      dummy      writer     4249           
6          6171045888      dummy      writer     1212           
7          6171619328      dummy      writer     3344           
8          6172192768      dummy      writer     7269           
1          6162444288      real       reader     7269           
1          6167605248      dummy      reader     7269           
1          6163017728      real       writer     6466           
2          6163591168      real       writer     4284           
3          6164164608      real       writer     4761           
4          6164738048      real       writer     9662           
5          6165311488      real       writer     185            
6          6165884928      real       writer     659            
7          6166458368      real       writer     2552           
8          6167031808      real       writer     9277           
1          6168178688      dummy      writer     3604           
2          6168752128      dummy      writer     803            
3          6169325568      dummy      writer     2806           
4          6169899008      dummy      writer     8770           
5          6170472448      dummy      writer     8785           
6          6171045888      dummy      writer     394            
7          6171619328      dummy      writer     7207           
8          6172192768      dummy      writer     6960           
1          6162444288      real       reader     6960           
1          6167605248      dummy      reader     6960           
1          6163017728      real       writer     3118           
2          6163591168      real       writer     7451           
3          6164164608      real       writer     8284           
4          6164738048      real       writer     3076           
5          6165311488      real       writer     5873           
6          6165884928      real       writer     9305           
7          6166458368      real       writer     8814           
8          6167031808      real       writer     5697           
1          6168178688      dummy      writer     797            
2          6168752128      dummy      writer     8035           
3          6169325568      dummy      writer     9706           
4          6169899008      dummy      writer     3343           
5          6170472448      dummy      writer     2424           
6          6171045888      dummy      writer     6768           
7          6171619328      dummy      writer     3199           
8          6172192768      dummy      writer     6863           
